ncbi_ids,"[['NCBI:641', 'NCBI:1893'], ['NCBI:641', 'NCBI:1893'], ['NCBI:641', 'NCBI:79894'], ['NCBI:641', 'NCBI:6857'], ['NCBI:641', 'NCBI:6857']]"
sym,"[['BLM', 'ECM1'], ['BLM', 'C14orf102'], ['BLM', 'ZNF672'], ['BLM', 'SYT1'], ['BLM', 'FBXO18']]"
