ANXA2P1,NCBI:303
ANXA2P2,NCBI:304
ANXA2P3,NCBI:305
ANXA3,NCBI:306
ANXA4,NCBI:307
ANXA5,NCBI:308
ANXA6,NCBI:309
ANXA7,NCBI:310
ANXA11,NCBI:311
ANXA13,NCBI:312
AOAH,NCBI:313
AOC2,NCBI:314
AOX1,NCBI:316
APAF1,NCBI:317
NUDT2,NCBI:318
APOF,NCBI:319
APBA1,NCBI:320
APBA2,NCBI:321
APBB1,NCBI:322
APBB2,NCBI:323
APC,NCBI:324
APCS,NCBI:325
AIRE,NCBI:326
APEH,NCBI:327
APEX1,NCBI:328
BIRC2,NCBI:329
BIRC3,NCBI:330
XIAP,NCBI:331
BIRC5,NCBI:332
APLP1,NCBI:333
APLP2,NCBI:334
APOA1,NCBI:335
APOA2,NCBI:336
APOA4,NCBI:337
APOB,NCBI:338
APOBEC1,NCBI:339
APOC1,NCBI:341
APOC1P1,NCBI:342
AQP8,NCBI:343
APOC2,NCBI:344
APOC3,NCBI:345
APOC4,NCBI:346
APOD,NCBI:347
APOE,NCBI:348
APOH,NCBI:350
APP,NCBI:351
APRT,NCBI:353
KLK3,NCBI:354
FAS,NCBI:355
FASLG,NCBI:356
SHROOM2,NCBI:357
AQP1,NCBI:358
AQP2,NCBI:359
AQP3,NCBI:360
AQP4,NCBI:361
AQP5,NCBI:362
AQP6,NCBI:363
AQP7,NCBI:364
AQP9,NCBI:366
AR,NCBI:367
ABCC6,NCBI:368
ARAF,NCBI:369
ARCN1,NCBI:372
TRIM23,NCBI:373
AREG,NCBI:374
ARF1,NCBI:375
ARF3,NCBI:377
ARF4,NCBI:378
ARL4D,NCBI:379
ARF4P1,NCBI:380
ARF5,NCBI:381
ARF6,NCBI:382
ARG1,NCBI:383
ARG2,NCBI:384
RHOA,NCBI:387
RHOB,NCBI:388
RHOC,NCBI:389
RND3,NCBI:390
RHOG,NCBI:391
ARHGAP1,NCBI:392
ARHGAP4,NCBI:393
ARHGAP5,NCBI:394
ARHGAP6,NCBI:395
ARHGDIA,NCBI:396
ARHGDIB,NCBI:397
ARHGDIG,NCBI:398
RHOH,NCBI:399
ARL1,NCBI:400
PHOX2A,NCBI:401
ARL2,NCBI:402
ARL3,NCBI:403
ARNT,NCBI:405
ARNTL,NCBI:406
ARR3,NCBI:407
ARRB1,NCBI:408
ARRB2,NCBI:409
ARSA,NCBI:410
ARSB,NCBI:411
STS,NCBI:412
ARSC2,NCBI:413
ARSD,NCBI:414
ARSL,NCBI:415
ARSF,NCBI:416
ART1,NCBI:417
ART2P,NCBI:418
ART3,NCBI:419
ART4,NCBI:420
ARVCF,NCBI:421
ARVD3,NCBI:424
ARVD4,NCBI:425
ASAH1,NCBI:427
ASCL1,NCBI:429
ASCL2,NCBI:430
ASD1,NCBI:431
ASGR1,NCBI:432
ASGR2,NCBI:433
ASIP,NCBI:434
ASL,NCBI:435
ASLP1,NCBI:436
ASMT,NCBI:438
GET3,NCBI:439
ASNS,NCBI:440
ASNSP2,NCBI:442
ASPA,NCBI:443
ASPH,NCBI:444
ASS1,NCBI:445
ASS1P2,NCBI:447
ASS1P4,NCBI:449
ASS1P5,NCBI:450
ASS1P6,NCBI:451
ASS1P8,NCBI:453
ASS1P9,NCBI:454
ASS1P10,NCBI:455
ASS1P14,NCBI:459
ASTN1,NCBI:460
SERPINC1,NCBI:462
ZFHX3,NCBI:463
ATD,NCBI:465
ATF1,NCBI:466
ATF3,NCBI:467
ATF4,NCBI:468
ATF4P1,NCBI:469
ATHS,NCBI:470
ATIC,NCBI:471
ATM,NCBI:472
RERE,NCBI:473
ATOH1,NCBI:474
ATOX1,NCBI:475
ATP1A1,NCBI:476
ATP1A2,NCBI:477
ATP1A3,NCBI:478
ATP12A,NCBI:479
ATP1A4,NCBI:480
ATP1B1,NCBI:481
ATP1B2,NCBI:482
ATP1B3,NCBI:483
ATP1B3P1,NCBI:484
ATP1B1P1,NCBI:485
FXYD2,NCBI:486
ATP2A1,NCBI:487
ATP2A2,NCBI:488
ATP2A3,NCBI:489
ATP2B1,NCBI:490
ATP2B2,NCBI:491
ATP2B3,NCBI:492
ATP2B4,NCBI:493
ATP4A,NCBI:495
ATP4B,NCBI:496
ATP5F1A,NCBI:498
ALDH7A1,NCBI:501
ATP5F1AP2,NCBI:504
ATP5F1B,NCBI:506
ATP5F1BP1,NCBI:507
ATP5F1C,NCBI:509
ATP5F1D,NCBI:513
ATP5F1E,NCBI:514
ATP5PB,NCBI:515
ATP5MC1,NCBI:516
ATP5MC2,NCBI:517
ATP5MC3,NCBI:518
ATP5MC2P1,NCBI:520
ATP5ME,NCBI:521
ATP5PF,NCBI:522
