# CSV generated from:L
# https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-018-04647-1/MediaObjects/41467_2018_4647_MOESM4_ESM.xlsx
# Supplementary Data 1. Experimentally identified gold standard SL interactions,,,,,,
# ,,,,,,
gene1,gene2,gene1 perturbation,gene2 perturbation,PMID,cancer type tested,SL
MUS81,KLF6,mut,shRNA,24104479,COAD,1
MUS81,AXL,mut,shRNA,24104479,COAD,0
MUS81,TBR1,mut,shRNA,24104479,COAD,0
MUS81,SERPINA12,mut,shRNA,24104479,COAD,0
MUS81,BRAF,mut,shRNA,24104479,COAD,1
MUS81,TMC8,mut,shRNA,24104479,COAD,1
MUS81,SH2D1A,mut,shRNA,24104479,COAD,0
MUS81,SPAG11B,mut,shRNA,24104479,COAD,0
MUS81,UBASH3B,mut,shRNA,24104479,COAD,0
MUS81,PVALB,mut,shRNA,24104479,COAD,0
MUS81,CDK2,mut,shRNA,24104479,COAD,0
MUS81,WISP1,mut,shRNA,24104479,COAD,0
MUS81,FZD4,mut,shRNA,24104479,COAD,0
MUS81,TAS2R3,mut,shRNA,24104479,COAD,0
MUS81,ZNF358,mut,shRNA,24104479,COAD,1
MUS81,UBE2E3,mut,shRNA,24104479,COAD,0
MUS81,FERMT1,mut,shRNA,24104479,COAD,1
MUS81,RG9MTD1,mut,shRNA,24104479,COAD,0
MUS81,SERPINB8,mut,shRNA,24104479,COAD,0
MUS81,DDB1,mut,shRNA,24104479,COAD,1
MUS81,CRP,mut,shRNA,24104479,COAD,0
MUS81,EVX1,mut,shRNA,24104479,COAD,0
MUS81,MMP1,mut,shRNA,24104479,COAD,0
MUS81,SLC25A18,mut,shRNA,24104479,COAD,0
MUS81,SLTM,mut,shRNA,24104479,COAD,0
MUS81,VWCE,mut,shRNA,24104479,COAD,1
MUS81,STX4,mut,shRNA,24104479,COAD,1
MUS81,LRRC8A,mut,shRNA,24104479,COAD,0
MUS81,LUZP2,mut,shRNA,24104479,COAD,0
MUS81,C6orf58,mut,shRNA,24104479,COAD,1
MUS81,SFRP4,mut,shRNA,24104479,COAD,0
MUS81,CDNF,mut,shRNA,24104479,COAD,1
MUS81,NUP188,mut,shRNA,24104479,COAD,0
MUS81,C17orf63,mut,shRNA,24104479,COAD,0
MUS81,RIMS2,mut,shRNA,24104479,COAD,0
MUS81,PPM1A,mut,shRNA,24104479,COAD,0
MUS81,WDR36,mut,shRNA,24104479,COAD,1
MUS81,COL25A1,mut,shRNA,24104479,COAD,0
MUS81,MGAT1,mut,shRNA,24104479,COAD,0
MUS81,MRO,mut,shRNA,24104479,COAD,0
MUS81,ZIM3,mut,shRNA,24104479,COAD,0
MUS81,OR3A1,mut,shRNA,24104479,COAD,0
MUS81,TOM1L1,mut,shRNA,24104479,COAD,1
MUS81,AGK,mut,shRNA,24104479,COAD,1
MUS81,MAL2,mut,shRNA,24104479,COAD,0
MUS81,DSPP,mut,shRNA,24104479,COAD,0
MUS81,HAND2,mut,shRNA,24104479,COAD,0
MUS81,ATL3,mut,shRNA,24104479,COAD,1
MUS81,PPM1D,mut,shRNA,24104479,COAD,0
MUS81,SLC12A1,mut,shRNA,24104479,COAD,0
MUS81,PAPD4,mut,shRNA,24104479,COAD,0
MUS81,SERPINB6,mut,shRNA,24104479,COAD,0
MUS81,CYP7A1,mut,shRNA,24104479,COAD,0
MUS81,NAPG,mut,shRNA,24104479,COAD,0
MUS81,C10orf76,mut,shRNA,24104479,COAD,0
MUS81,TMEM50A,mut,shRNA,24104479,COAD,0
MUS81,SNW1,mut,shRNA,24104479,COAD,1
MUS81,OR10A5,mut,shRNA,24104479,COAD,0
MUS81,SS18,mut,shRNA,24104479,COAD,1
MUS81,MYOM2,mut,shRNA,24104479,COAD,0
MUS81,LIN54,mut,shRNA,24104479,COAD,0
MUS81,C17orf57,mut,shRNA,24104479,COAD,1
MUS81,SFRS6,mut,shRNA,24104479,COAD,0
MUS81,OPN4,mut,shRNA,24104479,COAD,0
MUS81,CSNK2B,mut,shRNA,24104479,COAD,0
MUS81,CLDN10,mut,shRNA,24104479,COAD,0
MUS81,FAM9C,mut,shRNA,24104479,COAD,0
MUS81,PQLC1,mut,shRNA,24104479,COAD,0
MUS81,NFE2,mut,shRNA,24104479,COAD,0
MUS81,ENPP5,mut,shRNA,24104479,COAD,0
MUS81,PPL,mut,shRNA,24104479,COAD,1
MUS81,EIF2AK2,mut,shRNA,24104479,COAD,0
MUS81,MMP16,mut,shRNA,24104479,COAD,0
MUS81,AR,mut,shRNA,24104479,COAD,0
MUS81,ARNTL2,mut,shRNA,24104479,COAD,1
MUS81,C9orf93,mut,shRNA,24104479,COAD,0
MUS81,SLC6A7,mut,shRNA,24104479,COAD,0
MUS81,PKHD1L1,mut,shRNA,24104479,COAD,0
MUS81,TBC1D16,mut,shRNA,24104479,COAD,1
MUS81,JAK1,mut,shRNA,24104479,COAD,0
MUS81,ASAP1,mut,shRNA,24104479,COAD,0
MUS81,DCAF17,mut,shRNA,24104479,COAD,1
MUS81,COL4A1,mut,shRNA,24104479,COAD,0
MUS81,SMOC1,mut,shRNA,24104479,COAD,0
MUS81,XBP1,mut,shRNA,24104479,COAD,0
MUS81,ENAH,mut,shRNA,24104479,COAD,0
MUS81,CREG1,mut,shRNA,24104479,COAD,0
MUS81,ZMIZ1,mut,shRNA,24104479,COAD,0
MUS81,DPP9,mut,shRNA,24104479,COAD,0
MUS81,SNX27,mut,shRNA,24104479,COAD,0
MUS81,CYP2U1,mut,shRNA,24104479,COAD,0
MUS81,SNX8,mut,shRNA,24104479,COAD,1
MUS81,UGT2A1,mut,shRNA,24104479,COAD,0
MUS81,PPP1R12B,mut,shRNA,24104479,COAD,0
MUS81,EIF2C4,mut,shRNA,24104479,COAD,0
MUS81,MOBKL1A,mut,shRNA,24104479,COAD,0
MUS81,TAF11,mut,shRNA,24104479,COAD,0
MUS81,IFT57,mut,shRNA,24104479,COAD,0
MUS81,BMP2K,mut,shRNA,24104479,COAD,0
MUS81,CHST9,mut,shRNA,24104479,COAD,0
MUS81,CEBPE,mut,shRNA,24104479,COAD,1
MUS81,EZR,mut,shRNA,24104479,COAD,0
MUS81,PEX3,mut,shRNA,24104479,COAD,0
MUS81,UGT8,mut,shRNA,24104479,COAD,0
MUS81,HMHA1,mut,shRNA,24104479,COAD,0
MUS81,CNOT6L,mut,shRNA,24104479,COAD,0
MUS81,CEBPG,mut,shRNA,24104479,COAD,1
MUS81,ADAM11,mut,shRNA,24104479,COAD,0
MUS81,TRIM40,mut,shRNA,24104479,COAD,0
MUS81,ANKRA2,mut,shRNA,24104479,COAD,0
MUS81,S1PR5,mut,shRNA,24104479,COAD,0
MUS81,PCK1,mut,shRNA,24104479,COAD,0
MUS81,CYP4B1,mut,shRNA,24104479,COAD,0
MUS81,NINJ1,mut,shRNA,24104479,COAD,0
MUS81,PLSCR3,mut,shRNA,24104479,COAD,0
MUS81,CPSF6,mut,shRNA,24104479,COAD,0
MUS81,MYO1B,mut,shRNA,24104479,COAD,0
MUS81,KCNIP3,mut,shRNA,24104479,COAD,0
MUS81,CD248,mut,shRNA,24104479,COAD,0
MUS81,NR1I2,mut,shRNA,24104479,COAD,0
MUS81,OR52B6,mut,shRNA,24104479,COAD,0
MUS81,PCNXL2,mut,shRNA,24104479,COAD,1
MUS81,PRKRA,mut,shRNA,24104479,COAD,0
MUS81,ALDH1A3,mut,shRNA,24104479,COAD,1
MUS81,POFUT1,mut,shRNA,24104479,COAD,0
MUS81,SSH2,mut,shRNA,24104479,COAD,0
MUS81,TAF4B,mut,shRNA,24104479,COAD,0
MUS81,MDC1,mut,shRNA,24104479,COAD,0
MUS81,DHFR,mut,shRNA,24104479,COAD,0
MUS81,TNFSF15,mut,shRNA,24104479,COAD,0
MUS81,CRYAB,mut,shRNA,24104479,COAD,0
MUS81,MIPOL1,mut,shRNA,24104479,COAD,0
MUS81,NPR2,mut,shRNA,24104479,COAD,1
MUS81,ZBTB48,mut,shRNA,24104479,COAD,1
MUS81,SPRYD5,mut,shRNA,24104479,COAD,0
MUS81,POLM,mut,shRNA,24104479,COAD,1
MUS81,ITGAV,mut,shRNA,24104479,COAD,0
MUS81,IRS1,mut,shRNA,24104479,COAD,0
MUS81,NDUFS1,mut,shRNA,24104479,COAD,0
MUS81,TIMM17A,mut,shRNA,24104479,COAD,0
MUS81,RAPH1,mut,shRNA,24104479,COAD,0
MUS81,SLC17A6,mut,shRNA,24104479,COAD,0
MUS81,SMNDC1,mut,shRNA,24104479,COAD,0
MUS81,C19orf2,mut,shRNA,24104479,COAD,1
MUS81,SLC16A8,mut,shRNA,24104479,COAD,0
MUS81,PRSS48,mut,shRNA,24104479,COAD,0
MUS81,RHOQ,mut,shRNA,24104479,COAD,0
MUS81,C8orf46,mut,shRNA,24104479,COAD,0
MUS81,EIF2A,mut,shRNA,24104479,COAD,0
MUS81,GABRG3,mut,shRNA,24104479,COAD,0
MUS81,TRIM24,mut,shRNA,24104479,COAD,1
MUS81,DBNL,mut,shRNA,24104479,COAD,0
MUS81,BMPER,mut,shRNA,24104479,COAD,0
MUS81,P2RX4,mut,shRNA,24104479,COAD,0
MUS81,PIWIL4,mut,shRNA,24104479,COAD,0
MUS81,UBR4,mut,shRNA,24104479,COAD,1
MUS81,KISS1R,mut,shRNA,24104479,COAD,0
MUS81,LTK,mut,shRNA,24104479,COAD,1
MUS81,PCDHGC5,mut,shRNA,24104479,COAD,0
MUS81,NFIL3,mut,shRNA,24104479,COAD,0
MUS81,MRGPRX1,mut,shRNA,24104479,COAD,0
MUS81,TAS1R2,mut,shRNA,24104479,COAD,0
MUS81,WDR91,mut,shRNA,24104479,COAD,1
MUS81,XIRP2,mut,shRNA,24104479,COAD,0
MUS81,PTCHD3,mut,shRNA,24104479,COAD,0
MUS81,FKBP3,mut,shRNA,24104479,COAD,0
MUS81,TBC1D25,mut,shRNA,24104479,COAD,1
MUS81,GDF7,mut,shRNA,24104479,COAD,1
MUS81,HOXA13,mut,shRNA,24104479,COAD,1
MUS81,CD226,mut,shRNA,24104479,COAD,0
MUS81,SLC12A2,mut,shRNA,24104479,COAD,0
MUS81,C2orf48,mut,shRNA,24104479,COAD,0
